id,date,type,text,expense
29,30/04/22/18:00,food,KAUF/DIENSTLEISTUNG KARTEN NR. XXXX4347 Lidl 230 Emmenbrücke Schweiz,15.5
28,30/04/22/08:00,bills,PREIS FÜR BANKPAKET Smart 03.2022,5
27,29/04/22/20:00,food,KAUF/DIENSTLEISTUNG KARTEN NR. XXXX4347 Bäckerei-Konditorei Hotz Dübendorf Schweiz,71.9
26,29/04/22/18:00,travel,LADUNG KREDITKARTENKONTO POSTFINANCE 800390603408,20
25,28/04/22/18:00,items,TWINT GELD SENDEN,1950
24,23/04/22/18:00,food,KAUF/DIENSTLEISTUNG KARTEN NR. XXXX4347 Lidl 230 Emmenbrücke Schweiz,16.8
23,20/04/22/18:00,clothes,KAUF/DIENSTLEISTUNG KARTEN NR. XXXX4347 Migros Bahnhof Basel Schweiz,7.6
22,20/04/22/12:00,food,KAUF/DIENSTLEISTUNG KARTEN NR. XXXX4347 ALDI Suisse (Filiale 04) Dübendorf Schweiz,38.1
21,20/04/22/10:00,food,KAUF/DIENSTLEISTUNG KARTEN NR. XXXX4347 Lidl 230 Emmenbrücke Schweiz,26.9
20,19/04/22/22:00,food,TWINT KAUF/DIENSTLEISTUNG Migros M EX Sihlpassage Zürich,8.8
19,19/04/22/21:00,clothes,LADUNG KREDITKARTENKONTO POSTFINANCE 800390603408,89
18,19/04/22/20:00,travel,ESR 01-105132-9 Schweizerische Bundesbahnen SBB Personenverkehr Bern SENDER REFERENZ: SBB GA (monatlich),340
17,19/04/22/18:00,bills,ESR 01-77959-6 Hochschule Luzern Luzern SENDER REFERENZ: Rechnung 13669019 20220418000800883838079,1038
16,19/04/22/24:00,bills,ESR 01-69935-3 Sunrise UPC GmbH Glattpark(Opfikon) SENDER REFERENZ: UPC Mobile,39
15,19/04/22/12:00,travel,ESR 01-145-6 UBS Switzerland AG 8098 Zürich SENDER REFERENZ: SBB Mobile Tickets,67.5
14,18/04/22/18:00,food,KAUF/DIENSTLEISTUNG KARTEN NR. XXXX4347 MIG migrolino Dübendorf SBB Dübendorf Schweiz,19.25
13,15/04/22/19:00,food,TWINT KAUF/DIENSTLEISTUNG Migros M Daily Bahnhof Luzern Luzern,8.4
12,15/04/22/18:00,food,TWINT KAUF/DIENSTLEISTUNG Migros M EX Sihlpassage Zürich,48.05
11,15/04/22/13:00,travel,LADUNG KREDITKARTENKONTO POSTFINANCE 800390603408,10
10,15/04/22/12:00,items,LADUNG KREDITKARTENKONTO POSTFINANCE 800390603408,3
9,12/04/22/18:00,food,KAUF/DIENSTLEISTUNG KARTEN NR. XXXX4347 Migros Dübendorf Dübendorf Schweiz,0.2
8,12/04/22/19:00,food,KAUF/DIENSTLEISTUNG KARTEN NR. XXXX4347 Migros Dübendorf Dübendorf Schweiz,44.9
7,09/04/22/18:00,food,KAUF/DIENSTLEISTUNG KARTEN NR. XXXX4347 ALDI Suisse AG Filiale 802031 Emmenbrücke Schweiz,10.45
6,08/04/22/17:00,food,KAUF/DIENSTLEISTUNG KARTEN NR. XXXX4347 Lidl 230 Emmenbrücke Schweiz,3.95
5,08/04/22/10:00,food,KAUF/DIENSTLEISTUNG KARTEN NR. XXXX4347 Lidl 230 Emmenbrücke Schweiz,8.75
4,07/04/22/10:00,food,KAUF/DIENSTLEISTUNG KARTEN NR. XXXX4347 Lidl 230 Emmenbrücke Schweiz,14.9
3,06/04/22/16:00,food,KAUF/DIENSTLEISTUNG KARTEN NR. XXXX4347 Denner Satellit 6519 Kriens Schweiz,0.3
2,05/04/22/12:00,travel,KAUF/DIENSTLEISTUNG KARTEN NR. XXXX4347 KLOSTERS SELFRANGA RHB KLOSTERS Schweiz,39
1,01/04/22/18:00,travel,LADUNG KREDITKARTENKONTO POSTFINANCE 800390603408,15
